id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,is_expen,price_range
41,1780,0,2.385850399,1,0,0,54,0.358522912,202,1,15,253,1466,1571,7,3,6,1,0,1,0,3
42,1026,0,1.071636969,0,0,1,45,0.798195495,146,1,2,143,1087,3411,18,5,13,1,0,1,0,1
43,1142,1,2.427544835,0,0,1,33,0.07123656,113,1,7,178,992,3798,9,4,20,1,1,0,0,0
44,1146,0,0.43331895,0,0,0,27,0.024952504,183,5,3,1601,921,3836,14,1,13,1,1,0,0,1
45,1806,0,1.812443322,0,0,0,27,0.026885659,198,1,7,988,1534,3404,14,10,19,1,0,0,0,1
46,572,0,0.416383333,0,0,1,2,0.787479724,180,1,0,40,1804,2674,17,5,15,1,0,0,0,1
47,1461,1,1.61376657,0,0,0,57,0.027491454,202,2,7,152,961,1579,10,1,15,1,1,0,0,0
48,1843,0,1.834074419,1,0,1,9,0.557792062,201,4,3,153,665,2695,7,0,9,1,1,0,0,2
49,1148,0,1.076887015,0,0,0,14,0.077945917,202,2,1,192,637,2695,12,6,13,1,1,1,0,1
50,1144,0,1.111195453,1,0,0,27,0.027225894,176,3,4,1030,1499,3657,8,11,2,1,0,1,0,2
51,1142,1,0.422960173,0,7,1,31,0.550233591,114,5,9,211,640,2697,7,1,6,0,0,1,0,1
52,1474,0,0.501696265,1,0,1,2,0.771443063,183,1,3,204,1805,3438,10,3,20,1,0,0,0,1
53,596,0,0.421463718,1,0,1,20,0.026887328,111,1,4,41,1971,398,7,4,7,1,0,0,1,2
54,522,1,0.495574951,1,0,1,12,0.564618898,203,6,0,1047,659,2699,15,6,11,1,1,1,0,1
55,1026,1,1.041145753,0,0,0,19,0.76945434,144,5,3,156,1469,2695,9,5,15,1,0,0,0,1
56,1169,0,0.442005422,0,0,0,15,0.075934959,147,1,7,267,1804,3384,10,10,15,1,0,1,0,1
57,597,0,0.424040532,1,0,1,20,0.026067642,88,1,4,34,1972,395,16,4,7,1,0,0,1,2
58,605,0,0.484826261,0,0,1,12,0.76132167,177,5,14,191,1961,3345,18,5,12,1,1,1,0,1
59,599,0,0.420257966,1,0,1,20,0.027492722,89,1,4,168,1967,394,7,4,7,1,0,0,1,2
60,1166,1,1.113207364,0,1,1,49,0.030969531,111,7,3,153,683,2020,18,5,13,1,1,0,0,0
61,602,0,0.427786011,1,0,1,20,0.027119572,111,1,4,42,1973,398,7,4,7,1,0,0,1,2
62,1163,1,0.434779983,0,1,1,32,0.364942118,145,6,4,167,960,2709,15,3,20,1,0,0,0,1
63,1183,1,2.404589941,0,0,0,15,0.3423228,147,3,4,180,957,3422,15,4,9,1,0,0,0,0
64,612,0,0.422099407,1,0,1,26,0.554130707,199,3,1,211,651,3558,7,1,2,1,0,0,0,0
65,1171,0,1.148126273,1,0,1,27,0.027907204,175,2,7,160,693,3372,18,7,6,1,1,1,0,0
66,1026,1,0.499615853,1,0,1,16,0.81157347,202,1,7,262,693,1994,17,1,6,1,1,1,0,3
67,1784,0,1.063761514,1,0,1,41,0.091774993,200,2,4,172,1542,3507,17,11,13,1,1,1,0,2
68,591,0,0.422538969,1,0,1,20,0.026689972,110,1,4,42,1973,396,7,4,7,1,0,0,1,2
69,1160,0,1.658968716,0,0,0,32,0.097393321,202,7,1,209,1127,3823,8,0,11,1,0,0,0,1
70,1026,1,1.077994849,1,0,1,12,0.361290733,201,2,14,171,1605,2009,17,11,13,1,1,0,0,2
71,596,0,0.426014303,1,0,1,12,0.798240178,136,6,17,33,1060,3552,17,1,3,0,1,0,0,0
72,1026,0,0.449707533,0,0,1,2,0.818973647,199,4,14,149,1512,3379,15,3,12,1,1,1,0,1
73,1154,0,0.436214352,1,0,0,32,0.093696907,182,7,3,203,695,2652,11,10,15,0,0,0,0,2
74,1816,0,0.419678404,1,0,1,27,0.026999341,113,1,4,200,1972,389,7,4,7,1,0,0,1,2
75,597,0,0.497909529,1,0,0,54,0.061564962,177,4,3,965,1689,1513,12,9,8,1,1,0,0,1
76,593,0,0.423804417,1,0,1,20,0.02687768,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
77,1026,0,2.406832138,0,1,0,14,0.028825696,145,7,7,182,1570,2006,14,7,6,1,1,1,0,3
78,1026,0,1.134451752,0,0,1,12,0.768187224,202,1,20,1619,1510,3467,10,5,8,1,1,0,0,1
79,1814,0,0.416714402,1,0,1,27,0.026495519,142,1,4,184,1972,398,7,4,7,1,0,0,1,2
80,1829,0,1.192572854,1,0,0,15,0.783358857,142,2,19,139,1122,1492,9,0,8,1,0,0,0,3
81,516,0,1.829897985,0,0,1,2,0.773396712,183,1,10,45,1933,3381,18,7,20,1,1,0,0,1
82,1518,0,0.43722443,1,0,0,12,0.787474087,145,2,6,168,643,3370,17,3,6,0,0,0,0,2
83,1154,0,0.48043832,0,0,0,51,0.547032166,146,4,1,158,682,1986,17,2,2,1,1,1,0,1
84,1828,1,0.417110711,0,0,0,32,0.02700715,143,6,14,162,656,1607,12,10,6,1,0,1,0,3
85,1828,0,0.4192291,1,0,1,12,0.380754866,174,1,4,227,985,3734,14,10,6,1,0,1,0,3
86,1176,1,0.494515815,0,3,0,8,0.071308379,143,4,14,31,1075,3859,16,0,12,1,0,1,0,3
87,544,0,0.497486924,0,0,1,12,0.791202084,181,7,17,323,1487,3789,16,3,6,1,0,1,0,1
88,1809,0,0.420868041,1,0,1,20,0.026307729,110,1,4,180,1974,392,7,4,7,1,0,0,1,2
89,1146,1,1.102943893,1,0,1,8,0.060904014,87,1,3,150,1973,390,16,4,15,1,0,0,1,1
90,528,1,1.656904161,0,0,1,12,0.7874174,113,2,0,146,1102,3427,9,11,8,1,0,1,0,0
91,1459,0,1.613510752,1,0,0,49,0.024092229,202,4,14,144,1804,1541,11,3,8,1,0,1,0,0
92,1169,1,0.436057253,0,0,0,49,0.775596312,147,1,4,185,962,3557,7,3,6,1,0,1,0,1
93,580,0,0.416818965,1,0,1,20,0.026738078,200,1,4,169,1972,391,7,4,7,1,0,0,1,2
94,595,0,0.4234494,1,0,1,20,0.027352368,110,1,4,173,1973,399,7,4,7,1,0,0,1,2
95,1026,1,1.123092569,1,0,1,12,0.093450322,147,1,19,281,1645,3613,10,5,3,1,0,0,0,1
96,1175,0,1.824181943,1,0,1,36,0.553846262,203,7,0,606,973,2713,7,6,3,1,1,1,0,0
97,1813,1,0.458665469,0,1,1,15,0.77908873,200,8,10,181,1132,1541,10,5,13,1,1,1,0,1
98,544,1,0.474922406,1,0,0,32,0.825709637,178,7,1,180,1805,2705,7,3,19,1,0,0,0,1
99,531,0,2.37654566,0,0,0,43,0.832235961,114,6,10,151,662,2674,12,5,11,1,1,1,0,3
100,596,0,0.420621962,1,0,1,20,0.026885651,110,1,4,38,1971,397,7,4,7,1,0,0,1,2
101,597,0,0.420780838,1,0,1,20,0.027017576,111,1,4,40,1971,398,7,4,7,1,0,0,1,2
102,595,0,0.429767155,1,0,1,31,0.778859318,177,1,20,158,988,1525,9,4,7,1,0,0,0,2
103,597,0,2.427192851,1,0,0,45,0.026079171,89,3,1,203,1010,3611,10,2,9,1,0,0,0,2
104,550,0,1.033591978,1,0,1,12,0.784319551,202,7,3,581,1928,1557,18,3,11,1,1,0,0,0
105,598,0,1.82197143,0,0,1,20,0.349239908,199,1,4,171,1505,402,9,3,15,1,1,0,0,2
106,1140,0,1.036410097,0,0,0,2,0.797924594,197,7,4,174,1584,2694,12,11,13,1,0,0,0,1
107,1026,1,2.370620092,0,0,0,12,0.777157715,182,7,2,146,1916,3417,18,3,12,1,1,0,0,1
108,599,0,0.427674571,1,0,1,20,0.025127934,89,1,4,151,1128,390,7,4,7,1,0,0,1,2
109,636,0,0.417574502,1,0,1,32,0.351798169,177,2,1,973,679,2691,12,11,2,1,0,1,0,3
110,1786,1,1.065139244,0,0,0,2,0.792867461,177,6,14,33,1564,1601,16,7,6,1,0,0,0,1
111,595,0,0.428372945,1,0,1,20,0.027175821,111,1,4,43,1973,397,7,4,7,1,0,0,1,2
112,525,0,0.425271261,1,0,1,16,0.028466994,176,5,1,167,1013,3407,10,4,4,1,0,0,0,2
113,597,0,0.421564283,1,0,1,20,0.026974216,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
114,1026,1,0.487656604,1,0,1,32,0.580159071,146,1,3,1019,891,2669,8,3,13,1,0,1,0,1
115,1821,0,0.423129864,1,0,1,20,0.02801459,88,1,4,999,1970,379,7,4,7,1,0,0,1,2
116,1145,1,0.471359196,0,0,1,32,0.371886533,114,2,7,1060,652,1983,18,3,2,1,1,1,0,1
117,589,0,0.42438483,1,0,1,31,0.5527655,178,1,1,182,1114,1351,14,1,7,1,1,1,0,3
118,1026,1,2.404328979,0,0,1,24,0.075501156,181,8,4,967,969,3540,7,1,2,1,0,0,0,1
119,1149,1,0.407926876,1,0,1,16,0.024529858,202,7,4,150,1616,3802,14,1,15,1,1,0,0,3
120,1468,0,1.098571986,0,1,0,51,0.808593011,113,3,1,1065,666,1979,5,0,2,1,0,1,0,3
121,594,0,0.432675748,1,0,1,12,0.767453464,175,2,14,635,1952,2689,18,5,8,1,0,0,0,0
122,1162,1,1.083704765,1,1,1,27,0.796791485,147,3,19,302,1544,1538,18,11,13,1,0,1,0,3
123,1782,0,1.635499711,0,0,0,49,0.073780107,147,7,0,164,1804,2701,7,0,8,1,1,1,0,0
124,1026,1,1.830919735,1,0,0,2,0.796777082,182,1,1,37,1936,1610,12,1,12,1,1,0,0,0
125,1164,0,0.462856077,1,0,1,32,0.352353484,174,4,17,30,700,2681,9,0,2,1,0,0,0,2
126,1026,1,1.034163247,1,0,1,54,0.353220195,199,2,18,183,1487,1611,18,0,8,1,0,0,0,3
127,606,0,0.417706906,1,0,1,20,0.028040838,89,1,4,166,1973,394,7,4,7,1,0,0,1,2
128,1026,0,2.412305557,0,0,0,60,0.807867521,144,4,9,159,968,2008,14,7,15,1,0,0,0,1
129,1173,1,0.420185442,1,0,1,31,0.027060684,200,7,4,177,700,2011,7,3,6,1,0,1,0,1
130,1515,0,1.652787865,0,0,1,2,0.793746341,184,7,1,220,964,3666,7,1,7,1,1,1,0,2
131,1163,1,0.43865868,0,0,1,43,0.55949744,202,6,1,997,1008,2000,7,5,13,1,0,1,0,3
132,536,0,1.632638869,1,0,1,12,0.101139849,179,6,18,983,1804,3387,15,3,15,1,1,0,0,3
133,1793,1,2.409235533,0,0,1,15,0.811948436,113,5,4,184,657,1991,9,5,2,1,0,0,0,2
134,590,0,0.421255333,1,0,1,31,0.353759568,200,7,1,169,1079,1997,7,1,11,1,0,1,0,1
135,596,0,0.444006702,1,0,1,20,0.025939948,88,1,4,144,1111,387,7,4,7,1,0,0,1,2
136,596,0,2.464603812,0,0,1,12,0.060927261,178,1,3,170,1948,3353,18,6,6,1,1,1,0,1
137,601,0,0.426740711,1,0,1,20,0.026838267,110,1,4,40,1972,406,7,4,7,1,0,0,0,2
138,604,0,0.421973569,1,0,1,20,0.027101906,110,1,4,41,1972,396,7,4,7,1,0,0,1,2
139,592,0,0.425468016,1,0,1,20,0.026158371,111,1,4,42,1973,398,7,4,7,1,0,0,1,2
140,1795,0,0.491747036,0,0,0,27,0.069555847,201,2,9,165,1584,3755,16,5,15,1,0,1,0,2
141,1781,0,1.055458397,1,0,1,6,0.074866655,199,3,15,1073,982,2041,7,2,13,1,0,1,0,3
142,593,0,0.423357703,1,0,1,20,0.026813541,110,1,4,41,1974,400,7,4,7,1,0,0,1,2
143,571,1,0.472463395,0,3,0,45,0.783978111,169,6,14,593,1920,3355,16,3,8,1,1,1,0,0
144,1495,0,1.049029895,0,0,1,42,0.025643164,180,3,1,151,1022,2004,18,2,9,1,0,1,0,2
145,1151,0,1.838213508,1,0,0,51,0.813852407,180,5,7,146,1142,1999,16,1,6,1,1,0,0,1
146,1163,0,1.068819731,1,0,1,31,0.024808447,114,3,19,1093,1547,1549,18,7,2,1,0,1,0,3
147,1470,1,0.445698335,0,0,1,32,0.356914375,181,4,1,196,1936,1993,14,7,7,1,1,1,0,2
148,1802,1,0.464756124,1,0,1,27,0.810022231,147,1,3,225,698,2011,18,4,15,1,1,1,0,3
149,1026,0,2.429401287,1,0,1,41,0.027369309,197,4,14,150,1017,1540,11,5,3,1,0,1,0,2
150,519,1,0.461270901,0,0,1,15,0.025927615,113,2,1,247,1572,1559,17,11,9,1,1,0,0,0
151,1165,0,0.45706471,1,0,0,15,0.059218455,145,2,17,244,1806,3357,17,10,13,1,0,1,0,3
152,1169,0,2.454555365,1,0,1,32,0.359033783,112,3,3,165,995,1995,11,4,18,1,0,1,0,2
153,576,0,0.416530801,1,0,1,20,0.027372837,112,1,4,153,1972,402,7,4,7,1,0,0,0,2
154,1501,0,0.421348096,1,0,1,20,0.027098098,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
155,1026,1,0.435710949,0,0,1,32,0.363108654,179,4,14,149,1596,3501,11,3,6,1,1,1,0,2
156,522,1,1.845445154,0,0,0,2,0.585382599,199,1,9,204,879,3340,9,3,13,1,0,0,0,1
157,590,0,0.424519269,1,0,1,20,0.026443262,110,1,4,177,1973,395,7,4,7,1,0,0,1,2
158,1026,0,1.072924676,1,0,1,8,0.079091241,201,4,3,155,1081,1593,18,11,12,1,1,1,0,0
159,1026,1,0.486537663,1,0,0,49,0.366079914,200,7,3,1017,717,1631,17,7,6,1,0,1,0,3
160,595,0,0.421653471,1,0,1,20,0.026829109,111,1,4,41,1972,399,7,4,7,1,0,0,1,2
161,608,0,0.434822349,1,0,1,20,0.024829144,88,1,4,147,1138,388,7,4,7,1,0,0,1,2
162,1830,0,0.423144581,0,0,1,12,0.095893859,202,7,20,655,997,1497,15,3,13,1,1,1,0,3
163,1026,1,0.436327087,1,0,1,12,0.824481577,202,1,7,200,1941,1991,15,5,13,1,1,1,0,1
164,596,0,0.422659233,1,0,1,20,0.026863714,111,1,4,40,1972,398,7,4,7,1,0,0,1,2
165,1509,1,1.050082076,0,0,1,54,0.362419888,181,7,1,215,1483,2664,9,1,20,1,0,0,0,0
166,1153,1,1.618992924,0,0,1,43,0.801227017,113,2,0,185,1523,2011,9,1,8,1,1,0,0,1
167,1183,1,0.413095561,1,0,1,27,0.81434507,144,2,4,156,1590,498,7,1,11,1,1,0,0,1
168,635,0,1.890004314,1,0,0,16,0.762244411,88,1,1,166,1924,3389,17,6,13,1,1,0,0,1
169,578,1,2.389614619,0,0,0,32,0.829566875,181,1,14,161,897,3830,16,0,20,1,0,0,0,1
170,592,0,0.424427824,1,0,1,20,0.02714069,110,1,4,43,1973,398,7,4,7,1,0,0,1,2
171,1171,1,2.366342725,0,0,0,27,0.816133482,144,1,14,157,1544,3480,16,3,7,1,0,1,0,1
172,1145,0,1.071740028,1,0,0,27,0.027728741,179,3,19,187,1543,2699,18,5,6,1,0,1,0,3
173,560,0,0.452020205,0,0,1,12,0.792653825,203,5,5,1009,1926,3405,9,6,20,1,0,0,0,1
174,539,0,0.467523716,0,0,0,2,0.787383595,178,8,1,141,1926,1513,9,11,2,1,1,1,0,0
175,1184,0,1.807193767,1,0,1,37,0.026190747,171,2,3,145,1072,1616,12,7,3,1,0,0,0,1
176,604,0,0.423883003,1,0,1,20,0.0269875,111,1,4,41,1973,399,7,4,7,1,0,0,1,2
177,1026,1,0.452286094,0,1,0,49,0.830789321,112,6,3,176,695,1998,14,0,20,1,1,0,0,1
178,1166,1,2.411022872,1,0,0,27,0.026740571,182,7,15,213,1543,3405,17,3,8,1,1,1,0,1
179,590,0,0.424730445,1,0,1,20,0.026929167,110,1,4,42,1973,397,7,4,7,1,0,0,1,2
180,1164,0,1.174880522,1,0,1,54,0.025771312,114,7,7,992,677,1989,5,1,6,1,0,1,0,1
181,586,0,0.428586904,1,0,1,20,0.026888018,111,1,4,41,1972,400,7,4,7,1,0,0,1,2
182,1026,1,0.499913295,1,0,0,33,0.360710176,202,1,4,184,996,2760,7,1,11,1,1,1,0,2
183,1158,1,0.42796175,1,0,1,15,0.805563947,202,3,0,240,1805,3343,10,3,13,1,0,0,0,1
184,594,0,0.422701613,1,0,1,20,0.026878507,110,1,4,44,1973,397,7,4,7,1,0,0,1,2
185,1026,1,1.679381352,1,0,1,33,0.805870706,148,1,1,36,981,642,17,2,7,1,1,0,0,0
186,1834,0,0.420931541,1,0,0,12,0.764227254,147,7,19,43,1806,3377,7,1,2,1,0,1,0,3
187,590,0,0.44085804,1,0,1,20,0.024615623,88,1,4,151,1160,389,7,4,7,1,0,0,1,2
188,1026,0,2.408597019,0,0,0,14,0.026703318,176,2,3,137,1102,3782,11,0,7,1,0,1,0,2
189,595,0,0.421396983,1,0,1,20,0.027031545,111,1,4,42,1971,398,7,4,7,1,0,0,1,2
190,1813,0,1.831969146,0,0,1,9,0.781958126,200,7,2,191,1927,3384,18,0,13,1,0,0,0,1
191,1026,1,1.636940431,1,0,1,32,0.084123655,178,2,1,145,1128,3675,12,8,2,1,0,0,0,2
192,1147,1,1.050047478,1,0,0,21,0.075332536,200,5,1,197,1926,2679,7,6,11,0,1,0,0,2
193,536,1,0.450915003,0,0,1,27,0.079682088,183,7,0,171,1085,3864,18,5,11,1,0,1,0,1
194,1486,0,2.419673486,1,0,0,27,0.34702169,180,1,1,955,1926,2677,7,1,12,1,0,1,0,2
195,600,1,2.410536995,1,0,1,2,0.765953206,179,8,10,154,1930,3385,17,3,11,1,1,1,0,1
196,1026,1,2.410380107,0,0,0,60,0.816104455,143,3,10,200,1914,2005,14,7,11,1,1,1,0,1
197,620,1,0.470466687,0,0,1,20,0.069701122,175,1,0,633,980,3412,9,3,8,1,1,0,0,3
198,534,1,1.107998014,1,0,1,12,0.349628412,113,7,3,649,1070,3388,9,3,6,1,1,1,0,1
199,1026,0,0.466315964,1,0,0,33,0.563026218,147,3,3,247,1488,2729,15,1,9,1,1,0,0,3
200,529,0,0.437629837,0,0,1,32,0.063679469,178,5,19,658,1033,3393,7,3,19,1,1,0,0,3
201,1148,1,2.458141456,1,0,0,32,0.088354068,179,6,17,200,1805,3450,16,0,4,1,1,1,0,1
202,560,0,0.417139825,1,0,1,20,0.028143706,88,1,4,169,1973,388,7,4,7,1,0,0,1,2
203,1495,1,0.420308408,1,4,1,12,0.082946739,182,3,19,285,874,1392,7,1,9,1,0,0,0,1
204,1165,1,2.42953694,1,0,1,32,0.365857225,181,7,7,601,663,2005,17,1,19,1,0,1,0,1
205,610,0,0.463614294,1,0,1,27,0.072640351,112,3,19,216,1650,1478,15,3,15,1,1,1,0,1
206,1458,1,1.646488697,1,0,1,14,0.026233894,136,2,0,165,1012,3442,9,2,20,1,0,0,0,1
207,1473,0,1.052687752,1,0,0,2,0.76580824,202,8,20,207,1080,1642,15,3,15,1,0,0,0,1
208,618,0,0.42230201,1,0,1,20,0.026913992,110,1,4,42,1967,397,7,4,7,1,0,0,1,2
209,1501,0,0.442879484,1,0,1,54,0.024875322,88,1,1,167,1951,385,7,4,7,1,0,0,1,2
210,1150,1,1.069633091,1,0,1,31,0.061723012,142,2,7,972,1488,1591,17,1,2,1,0,1,0,3
211,1026,1,1.107703673,1,0,1,27,0.081676214,113,4,17,210,1220,3792,9,0,6,1,0,1,0,1
212,1168,0,0.446779819,1,0,1,32,0.069163562,182,1,1,144,1062,2702,7,3,20,1,1,0,0,0
213,1511,1,1.628733076,0,0,0,49,0.799307205,179,3,2,149,1922,1539,10,3,20,1,0,0,0,1
214,1818,1,0.438865674,0,0,1,2,0.568593041,203,8,4,178,1063,2689,15,1,7,1,0,0,0,2
215,596,0,0.426019833,1,0,1,20,0.026766876,111,1,4,40,1972,397,7,4,7,1,0,0,1,2
216,1026,1,1.108660467,1,0,1,33,0.814344822,114,6,1,160,685,2660,9,6,6,1,0,1,0,2
217,1163,0,0.414152675,0,0,1,12,0.822852959,183,1,7,608,1804,2676,17,3,15,1,1,0,0,2
218,1174,0,2.400230341,0,0,1,32,0.349889888,181,1,7,954,993,3371,17,2,11,1,1,1,0,0
219,1825,0,1.807103036,0,0,1,2,0.550419868,181,4,9,180,1019,2710,7,5,12,1,0,1,0,2
220,605,0,0.422894178,1,0,1,20,0.026758551,111,1,4,43,1974,396,7,4,7,1,0,0,1,2
221,1139,1,1.077554405,1,0,1,12,0.79979076,180,7,0,178,1112,2683,15,1,6,1,0,1,0,0
222,1168,0,0.451874906,0,0,1,2,0.367335211,179,2,3,999,1804,3467,9,3,8,1,1,0,0,1
223,1026,0,2.515441735,1,0,1,51,0.855401204,144,7,18,149,887,3787,9,0,15,1,1,1,0,1
224,1157,0,1.078736985,1,0,0,27,0.372288153,202,5,1,324,666,2688,5,1,6,0,1,0,0,2
225,609,0,0.420624953,1,0,1,20,0.027018635,111,1,4,41,1973,398,7,4,7,1,0,0,1,2
226,1456,0,0.436305738,1,0,1,12,0.810430219,201,7,4,176,976,1551,17,1,8,1,1,0,0,1
227,598,0,0.422594045,1,0,1,20,0.026321264,110,1,4,41,1973,398,7,4,7,1,0,0,1,2
228,596,0,0.422865686,1,0,1,20,0.0269842,111,1,4,41,1972,398,7,4,7,1,0,0,1,2
229,1834,1,1.811822481,0,0,0,15,0.762096505,144,5,2,246,1917,3620,12,3,12,1,0,0,0,1
230,1162,0,2.413146824,1,0,1,49,0.026541877,112,2,3,581,657,1991,16,3,4,1,1,0,0,0
231,1026,1,0.43403954,1,0,0,32,0.082492589,202,4,4,977,667,1511,16,10,15,1,0,1,0,1
232,1146,0,0.455403369,1,0,1,27,0.075831512,173,5,14,162,1930,3511,16,4,7,1,0,1,0,1
233,1169,0,0.468159785,1,0,1,33,0.09301033,202,6,0,163,675,2663,9,5,11,1,0,1,0,3
234,1458,0,1.078688804,1,0,1,27,0.070770371,145,2,7,238,682,3706,18,11,6,1,1,1,0,3
235,1137,0,0.450138124,0,0,1,27,0.815113224,202,4,10,52,1924,1986,18,7,6,1,1,0,0,3
236,596,0,0.422245409,1,0,1,20,0.026939374,110,1,4,44,1972,396,7,4,7,1,0,0,1,2
237,591,0,0.424864877,1,0,1,20,0.026854559,111,1,4,44,1971,399,7,4,7,1,0,0,1,2
238,1170,1,0.431359792,0,0,1,27,0.070606381,114,7,2,140,653,2088,11,7,6,1,0,1,0,3
239,1026,1,1.655366412,1,1,1,43,0.817108092,113,7,1,145,1170,2004,18,5,11,1,1,0,0,3
240,597,0,0.424493375,1,0,1,20,0.026874757,111,1,4,42,1972,397,7,4,7,1,0,0,1,2
241,1825,0,2.391556378,1,0,1,12,0.820446243,147,1,10,299,1550,1422,17,4,7,1,1,1,0,3
242,1026,1,2.400949304,1,0,0,21,0.336863021,199,8,14,970,1049,1639,16,10,2,1,0,1,0,1
243,593,0,1.832220734,0,0,0,32,0.792510144,89,4,7,180,1924,1997,17,7,7,1,0,0,0,1
244,1026,0,1.855009626,0,0,1,45,0.064506312,146,4,9,143,698,2707,7,7,7,1,0,1,0,2
